,cusip,tic,ticker,extraction_info,totals,extracted,errors,flag_tag,move_error
0,000361105,AIR,AIR,"26, 26, 0, []",26,26,0,1,0
81,723484101,PNW,PNW,"27, 27, 0, []",27,27,0,1,0
93,002535300,AAN,AAN,"26, 26, 0, []",26,26,0,1,0
184,004930202,ATVI.1,ATVI,"26, 26, 0, []",26,26,0,1,0
292,009158106,APD,APD,"25, 25, 0, []",25,25,0,1,0
343,011612702,ALAN,ALAN,"12, 12, 0, []",12,12,0,1,0
353,011659109,ALK,ALK,"27, 27, 0, []",27,27,0,1,0
494,017361106,AYE,AYE,"18, 18, 0, []",18,18,0,1,0
515,83088M102,SWKS,SWKS,"26, 26, 0, []",26,26,0,1,0
611,073730103,BEAM.2,BEAM,"21, 21, 0, []",21,21,0,1,0
631,74164M108,PRI,PRI,"10, 10, 0, []",10,10,0,1,0
769,983024100,WYE,WYE,"16, 16, 0, []",16,16,0,1,0
771,026874784,AIG,AIG,"27, 27, 0, []",27,27,0,1,0
805,027284108,ALGI,ALGI,"15, 15, 0, []",15,15,0,1,0
871,029174109,ARL,ARL,"18, 18, 0, []",18,18,0,1,0
905,029595105,AMS,AMS,"24, 24, 0, []",24,24,0,1,0
917,029683109,AMSWA,AMSWA,"25, 25, 0, []",25,25,0,1,0
932,030371108,AVD,AVD,"24, 24, 0, []",24,24,0,1,0
961,031162100,AMGN,AMGN,"26, 26, 0, []",26,26,0,1,0
996,032159105,AXR,AXR,"26, 26, 0, []",26,26,0,1,0
1087,G6359F103,NBR,NBR,"18, 18, 0, []",18,18,0,1,0
1155,037833100,AAPL,AAPL,"26, 26, 0, []",26,26,0,1,0
1185,292765104,EPAC,EPAC,"26, 26, 0, []",26,26,0,1,0
1241,039762109,ARDNA,ARDNA,"19, 19, 0, []",19,19,0,1,0
1259,03937C105,ARCB,ARCB,"27, 27, 0, []",27,27,0,1,0
1284,042735100,ARW,ARW,"27, 27, 0, []",27,27,0,1,0
1297,043168103,ARTW,ARTW,"21, 21, 0, []",21,21,0,1,0
1335,04599Y930,ASPN.1,ASPN,"6, 6, 0, []",6,6,0,1,0
1418,052769106,ADSK,ADSK,"25, 25, 0, []",25,25,0,1,0
1448,00234P102,AVHI,AVHI,"25, 25, 0, []",25,25,0,1,0
1472,053807103,AVT,AVT,"26, 26, 0, []",26,26,0,1,0
1485,054303102,AVP,AVP,"27, 27, 0, []",27,27,0,1,0
1497,002474104,AZZ,AZZ,"24, 24, 0, []",24,24,0,1,0
1595,057741100,BEZ,BEZ,"17, 17, 0, []",17,17,0,1,0
1640,733174700,BPOP,BPOP,"27, 27, 0, []",27,27,0,1,0
1666,062540109,BOH,BOH,"27, 27, 0, []",27,27,0,1,0
1764,068221100,BRN,BRN,"15, 15, 0, []",15,15,0,1,0
1823,071813109,BAX,BAX,"26, 26, 0, []",26,26,0,1,0
1840,03820C105,AIT,AIT,"26, 26, 0, []",26,26,0,1,0
1889,92343V104,VZ,VZ,"27, 27, 0, []",27,27,0,1,0
1918,080555105,BLC,BLC,"20, 20, 0, []",20,20,0,1,0
2050,093671105,HRB,HRB,"26, 26, 0, []",26,26,0,1,0
2063,G9402V109,VAL,VAL,"26, 26, 0, []",26,26,0,1,0
2075,095180105,BLT,BLT,"21, 21, 0, []",21,21,0,1,0
2107,097023105,BA,BA,"27, 27, 0, []",27,27,0,1,0
2134,141597302,CDIC,CDIC,"8, 8, 0, []",8,8,0,1,0
2161,67019E107,NST,NST,"14, 14, 0, []",14,14,0,1,0
2205,963801105,WEDC,WEDC,"15, 15, 0, []",15,15,0,1,0
2248,107336109,BRER,BRER,"13, 13, 0, []",13,13,0,1,0
2263,109043109,BGG,BGG,"26, 26, 0, []",26,26,0,1,0
2340,055966402,BNSSA,BNSSA,"11, 11, 0, []",11,11,0,1,0
2384,576690101,MTRN,MTRN,"20, 20, 0, []",20,20,0,1,0
2499,125523100,CI,CI,"2, 2, 0, []",2,2,0,1,0
2618,126601103,CVV,CVV,"11, 11, 0, []",11,11,0,1,0
2646,127150308,CACH,CACH,"19, 19, 0, []",19,19,0,1,0
2716,130788102,CWT,CWT,"23, 23, 0, []",23,23,0,1,0
2824,140430109,CPTP,CPTP,"14, 14, 0, []",14,14,0,1,0
2849,142339100,CSL,CSL,"27, 27, 0, []",27,27,0,1,0
2910,147528103,CASY,CASY,"26, 26, 0, []",26,26,0,1,0
2993,00752H102,ABAT,ABAT,"5, 5, 0, []",5,5,0,1,0
2997,152312104,CTX.2,CTX,"16, 16, 0, []",16,16,0,1,0
3094,23254K100,CYDI,CYDI,"17, 17, 0, []",17,17,0,1,0
