,cusip,tic,ticker,extraction_info,totals,extracted,errors
0,000361105,AIR,AIR,"26, 26, 0, []",26,26,0
13,000886309,ADCT.1,ADCT,"18, 18, 0, []",18,18,0
17,001058205,IWKS,IWKS,"0, 0, 0, []",0,0,0
19,020813101,ALO.2,ALO,"14, 14, 0, []",14,14,0
20,02376R102,AAL,AAL,"27, 27, 2, ['08', '09']",27,27,2
32,125141101,CECE,CECE,"19, 19, 0, []",19,19,0
44,G3156P103,ASA,ASA,"0, 0, 0, []",0,0,0
68,002444107,AVX,AVX,"25, 25, 4, ['08', '07', '06', '09']",25,25,4
81,723484101,PNW,PNW,"27, 27, 0, []",27,27,0
93,002535300,AAN,AAN,"26, 26, 0, []",26,26,0
105,002824100,ABT,ABT,"27, 27, 0, []",27,27,0
117,81765M106,SERV.1,SERV,"6, 6, 0, []",6,6,0
122,98159J200,WDDD,WDDD,"13, 13, 2, ['09', '17']",13,13,2
134,004446100,ACETQ,ACETQ,"24, 24, 1, ['08']",24,24,1
146,617577101,MRCBF,MRCBF,"0, 0, 0, []",0,0,0
158,004616207,ACMTA,ACMTA,"0, 0, 0, []",0,0,0
170,004816104,ACU,ACU,"24, 24, 1, ['10']",24,24,1
182,022167100,AHIX,AHIX,"0, 0, 0, []",0,0,0
184,004930202,ATVI.1,ATVI,"26, 26, 0, []",26,26,0
186,05587G104,BKTI,BKTI,"25, 25, 4, ['18', '19', '17', '06']",25,25,4
198,006212104,ADX,ADX,"0, 0, 0, []",0,0,0
211,006351308,AE,AE,"24, 24, 24, ['01', '02', '15', '14', '19', '97', '96', '07', '99', '16', '09', '11', '98', '06', '12', '18', '00', '17', '10', '04', '03', '13', '08', '05']",24,24,24
223,007903107,AMD,AMD,"27, 27, 0, []",27,27,0
236,N07045102,ASMIY,ASMIY,"0, 0, 0, []",0,0,0
248,008015307,AIM.1,AIM,"23, 23, 5, ['13', '08', '18', '10', '07']",23,23,5
255,00817Y108,AET,AET,"18, 18, 3, ['08', '10', '09']",18,18,3
277,45169P106,IDAI,IDAI,"0, 0, 0, []",0,0,0
279,008474108,AEM,AEM,"0, 0, 0, []",0,0,0
292,009158106,APD,APD,"25, 25, 0, []",25,25,0
305,009207101,AIRT,AIRT,"24, 24, 4, ['08', '07', '06', '09']",24,24,4
318,010284008,EGN1,EGN1,"0, 0, 0, []",0,0,0
331,010392009,SO1,SO1,"0, 0, 0, []",0,0,0
343,011612702,ALAN,ALAN,"12, 12, 0, []",12,12,0
353,011659109,ALK,ALK,"27, 27, 0, []",27,27,0
366,049904105,ATRI,ATRI,"26, 26, 5, ['18', '10', '19', '09', '17']",26,26,5
378,013078100,ACV.1,ACV,"5, 5, 0, []",5,5,0
382,451713101,IKN,IKN,"14, 14, 0, []",14,14,0
384,57686G105,MATX,MATX,"26, 26, 18, ['97', '12', '03', '06', '11', '00', '05', '01', '08', '96', '02', '07', '04', '09', '13', '98', '10', '95']",26,26,18
396,014752109,ALX,ALX,"26, 26, 9, ['15', '14', '17', '12', '10', '11', '16', '13', '09']",26,26,9
426,015644107,AGMJF,AGMJF,"0, 0, 0, []",0,0,0
438,29666M006,0065A,0065A,"0, 0, 0, []",0,0,0
445,016230104,ALCO,ALCO,"25, 25, 2, ['06', '05']",25,25,2
458,016663205,ATPT,ATPT,"0, 0, 0, []",0,0,0
470,017175100,Y,Y,"27, 27, 7, ['10', '06', '08', '09', '12', '11', '07']",27,27,7
494,017361106,AYE,AYE,"18, 18, 0, []",18,18,0
498,438516106,HON,HON,"26, 26, 2, ['12', '11']",26,26,2
511,019645506,ALY,ALY,"16, 16, 0, []",16,16,0
