,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,cusip,ticker
129378,,,,,,,,,,,,,,,0.9668758868931723,0.9516358648606554,0.9145013702078985,0.8898355823125247,0.9241585469397277,0.7473806592652332,0.806626835885509,,,,602496101,MDXG
86052,,,,,,,,,,,,0.9815468327308391,0.5179712647972616,0.6831577602122844,0.8277672966361419,0.9986166410753091,0.9991055040447122,0.9991001814113943,0.9985811848773132,0.9992125066519043,0.9985978363972733,,,,14149F109,CFNL
7354,,0.912484485659391,0.928833369367354,0.7502401592659446,0.8659132380488926,0.7451733173446096,0.8245285110906289,0.9065909760422461,0.9741091736828703,0.9281212512656114,0.9457266958938463,0.9659396891124926,0.9741355433390676,0.9491780562836598,,,,,,,,,,,427398102,HRLY
63709,,,,,,,,,,,,,,,,,,,,,,,,,87105L104,SWCH
22438,0.9560833483793991,0.9251476182707922,0.9504553710253557,0.9769171505214808,0.8660618188754358,0.8965176578751203,0.9385442256529902,0.9692679898341968,0.9542177899514305,0.9366847169271931,0.3022495049059242,0.7386432543565399,0.7446988165063685,0.7486739561914885,,0.9714472325811049,,,,,,,,,453096208,IPSU
106721,,,,,,,,,,,,,,,0.977374851126627,0.9926624669626737,0.997753542739031,0.9884349113929694,0.9887901693600146,0.990296960736178,0.9801575249263589,0.9842076270952544,0.7067252842114655,,72703U102,PLAG
70462,,,0.8313613000178828,0.8729926824643753,0.9110020828211671,0.9359585364328638,0.9509888312489122,0.8904864004712744,0.9044628652278336,0.9222469040927345,0.8998003068110725,0.8252609821438694,0.9014548718134953,0.9448488169356389,0.9494255549073722,0.9511510909675202,0.9069654095724925,0.9410630246342747,0.979127255735469,0.9924961067119823,0.9926645224498944,0.9892837683160588,0.9890251077997348,,543881106,LORL
107262,,,,,,,,,,,,,,,0.859569138674913,,,,,,,,,,03662X100,ANSW
37476,,,,,,,,,,,,,,,,,,,,,,0.9381508106592288,0.9723135460177109,0.9885421530573143,93964W108,WPG
5147,,,,0.9192915846419504,0.9586081245407607,0.9883107682685863,0.9820639942712058,0.9873130108267921,0.892256912304043,0.8624944655070168,0.7329936177716707,0.8273342322285712,0.7243458499080383,0.8208590905014906,0.9066260278534303,0.3584283069598573,0.5673517023823368,0.7836758511911684,1.0,0.35701391291511153,0.5524389657499896,0.7393730112735134,0.9523875854578033,,281479105,EDUC
148203,,,,,,,,,,,,,,,,,,,0.9739279478673982,0.9889462027688892,0.9871561801371183,0.9905550824172561,0.9829313287696664,0.9879640354599012,163086101,CHEF
100513,,,,,,,,,,,,,,,,,,,,,,,,,384701108,GRM
67605,,,,0.959311418106565,0.9246986386233297,0.8299989701012841,0.8895755585880494,0.9284854869169935,0.9661602031955067,0.9548828190960464,0.9665623105441862,0.9718945430538078,0.9428881477222539,0.9677637809104608,0.9791589298882902,0.9899888522254058,0.9702161337176175,0.9764261980415302,0.9752916382659261,0.9770763535202143,0.9535354921197472,0.8767828174232091,0.7760314204345459,0.8170124387527866,946760105,WSTG
134009,,,,,,,,,,,,,,,,0.9624164554052878,0.9303398271208798,0.9468224251303798,0.9662335414370976,0.9891150455247298,0.9823897715597374,0.9830701953303341,0.984811038325478,0.9859787144281938,40416E103,HCI
343,,0.8333185304794989,,,,,,,,,,,0.5175891560906889,0.5979751898089479,0.5573391856932992,0.7555634084202225,0.7107876784179918,0.7947036118893401,0.8222028958480451,0.8410832987484581,,,,,011612702,ALAN
145582,,,,,,,,,,,,,,,,,,0.9685154723195714,0.9723030058757116,0.9783884544702768,0.986067873108544,0.9849463873485886,0.9781907058719019,0.9425466961137187,695127100,PCRX
108775,,,,,,,,,,,,0.9770993841065502,0.976675203187531,0.9783553948064444,0.9739210105192576,,,,,,,,,,62985Q101,NLC
34450,,,,,,,,,,,,,,,,,,,,,0.6246325370230275,0.8095631913865081,0.9904502130419216,,245496104,TACO
31233,,,,,,,,,,,,,,,,,,,,,0.9823905981225854,0.9475625221471741,0.9642092530353551,0.9833512698355342,164651101,CHMI
46030,,,,0.9776658066866761,,0.7856716758418231,0.8615673924168181,0.9285095596477481,0.9293895762337449,0.9099596095636621,0.9315943342647838,0.9614653842429023,0.9869536239178127,0.9848238160841619,0.9874539581190528,0.9638033268738617,0.9649204455121869,0.9734289809314562,0.961269714497874,0.9711774317770239,0.9208942336165586,,,,918194101,WOOF
69878,,,,,,0.7346551401751716,,,0.5460414320619771,0.6493454469107655,0.7737817053656517,0.8432961207625272,0.9394076285170524,0.9188181130042389,,,,,,,,,,,987413101,UBET
64984,,,,,,,,,,,,,,,,,,,,,,,,,54738L109,LOVE
43693,,,,,,,,,,,,,,,,,,,,0.4296035008331663,0.6030105960332603,0.7991607841137904,0.9780284882719504,,90238J103,TYME
17514,,,,,,0.4220572589019211,0.4557032561300563,0.7169637908135112,0.9754739924724213,0.6190938842809138,0.7505551097163763,,,0.8296913087636063,,,,,,,,,,,902633304,UCIA
19908,,,,,,,,,,,,,,,0.27511861815165345,0.4901995487902364,0.7424007500570001,0.9803882730899938,1.0,0.7947510042928781,0.8631673361952522,0.931583668097626,0.541622911178139,,111294104,BRST
146767,,,,,,,,,,,,,,,,,,0.9729359128179826,0.9914841627786517,0.9904576412784841,0.9859969864036162,0.9828230457102539,0.9242349101258617,,58503F106,MCC
61964,,,,,,,,,,,,,,,,,,,,,,,,,131004202,CLNW
32189,,,0.9618335512394179,0.8823276941552494,0.9218861680716843,0.9538921174763636,0.9662141829659433,0.971759624777741,0.9836455606761142,0.8898492776152528,0.9304100042143689,0.9553817087078175,0.9462372902189348,0.9671009237811555,0.93788930759436,0.9438126182970125,0.9577366512416594,0.9595243189106907,0.9675076353420793,0.9618632264771149,0.9706071440788584,0.971172439145648,0.9642575318746279,,353525108,FRAF
30718,,,,,,,,,,,,,,,,,,,,,0.9700055521568096,0.9318938690150614,0.9449483716040185,,42237K300,HTBX
104936,,,,0.8352361045072434,0.8522619956574561,0.8695317871772431,0.8818324458070074,0.7366587982863293,0.7731609299963126,,,,0.28839409710283753,0.5511967599204964,0.7920205477014138,0.16245549282513788,0.4364723136910899,0.43966487570961293,0.43966487570961293,,,,0.4905345115269038,,744392101,PCMC
113927,,,,,,,,,,,,,0.9692006270596872,0.9843591436890717,0.988013867765972,0.9763445946658208,0.9779067874606192,0.9771717707171864,0.9786564827662046,0.9804709441987609,0.9878632168599054,0.9839338338030711,0.9835021625000714,0.9794860911407003,904311107,UAA
148275,,,,,,,,,,,,,,,,0.8488754642555053,0.8857568239071267,0.8327897515177128,0.8797241773564878,0.8015737637976944,0.860465942370429,0.9002339696780943,0.9405170097990471,0.954714835907447,15117F500,CLRB
63682,,,,,,,,,,,,,,,,,,,,,,,,,039587100,FUV
57417,,,,0.9579849791803969,0.9569349138285305,0.8188733982779727,0.8619541368671472,0.9028835302302962,0.9539097144202708,0.8980243424405634,0.8592359597950384,0.8409653626270681,0.9033044188026075,0.9313348538416476,0.9451362387329582,0.9571257405422715,0.9476265385536881,0.9229022831207074,0.9454185375536769,0.9597982931122822,0.9765824608528879,,,,954235107,WMAR
131129,,,,,,,,,,,,,,,0.9348090026548553,0.8842207327501482,,,,,,,,,864596101,SFSF
24018,,,,,,,,,,,,,,,,,,,,0.9809800107453918,0.9894758467494386,0.9922198164276882,0.9903429491281021,0.9806877443773182,98138H101,WDAY
84918,,,,,,0.9142777111320378,0.9097075846661,0.9325910791235978,0.9439080384918553,0.9065153904634619,0.9467558837749873,0.9732010470923281,0.9633892821259625,0.9698942417341258,0.9531135561913967,0.9624399602620312,0.9664284598930551,,,,,,,,804137107,SHS
66901,,,,,,,,,,,,,,,,,,,,,,,,,83192H106,SDC
133930,,,,,,,,,,,,,,,,,,,,,,,,,81169Q109,SDC
36902,,,,,,,,,,,,,,,,,,,,,,0.8854860213177097,0.9862318151885434,0.9854670539038201,55378G102,MTBC
48742,,,,,,,,,,,,,,,,,,,,,,,0.972116055763465,0.9741803536061285,12634H200,PMTS
98793,,,,,,,,,,,,,,,,0.9015203502988411,0.9582021034421636,0.9807919668999087,0.9778443679186891,0.975364744866965,0.9678041605625323,0.9857351487418482,0.9867826541799705,,168913200,CREG
39456,,,,,,,,,,,,,,,,,,,,,,,,,86777J108,SBCP
39968,,,,,,,,,,,,,,,,,,,,,,,,,92847N103,VTAE
10916,,0.9045597636110788,0.940047937415409,0.9282520158550495,0.9193078722255867,0.9165724388446507,0.9214863477105162,0.931788196059156,0.935324446029952,0.9118076802762092,0.901579056621391,0.9163676805763691,0.9253241710437267,0.9336220849855051,0.956122935330275,0.9577359874951799,0.9554095745919104,0.9496812300316314,0.9547189973362817,0.7975092219896874,0.8931507992607505,0.8926380403753441,0.8834363590325918,0.9441495053064543,651229106,NWL
44420,,,,,,,,,,,,,,,,,,,,,,,,,829204304,SMTK
