,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,cusip,ticker
129378,,,,,,,,,,,,,,,0.8938481086877028,0.8713714086255603,0.8918664437157036,0.7390809331086525,0.7784230671835584,,,,602496101,MDXG
86052,,,,,,,,,,,,0.6160754203858421,0.7109317527523168,0.8074791380263008,0.8969890018161392,0.9986357836805386,0.9982703344001751,0.9988418151897541,0.9983082569734446,,,,14149F109,CFNL
7354,,0.7318207225309837,0.8509267094751293,0.7249365591912621,0.7795099082803219,0.8325588316659314,0.8863033417606955,0.8887788065977082,0.9237238685580327,0.9460440469700391,0.9497015634457892,0.9275361608545625,,,,,,,,,,,427398102,HRLY
63709,,,,,,,,,,,,,,,,,,,,,,,87105L104,SWCH
22438,0.9312652477338406,0.9483144098261789,0.8654511779077032,0.8804483619036947,0.9001572699806222,0.9241236035586109,0.9250153717035289,0.9207317429937227,0.31551601748876995,0.8087962710350493,0.8149724689416351,0.8201748106387994,,0.8295578646585033,,,,,,,,,453096208,IPSU
106721,,,,,,,,,,,,,,,0.9855687044762831,0.9847223970048484,0.9884304313415312,0.9886163374917946,0.9774417151577441,0.9796898738867259,0.704006941568322,,72703U102,PLAG
70462,,,0.8213826857385118,0.8728879911621906,0.9199505987374856,0.8891366670441411,0.8911066006911845,0.9182147488803907,0.8928094426810287,0.8008482763049731,0.8432114340273502,0.8892213253620526,0.9108015464155388,0.9194830544551046,0.890137182951311,0.918742576069105,0.9472897648032775,0.9576278951948891,0.9809193356054517,0.9875079009629332,0.9849194162922714,,543881106,LORL
107262,,,,,,,,,,,,,,,,,,,,,,,03662X100,ANSW
37476,,,,,,,,,,,,,,,,,,,,,,0.948314093968113,93964W108,WPG
5147,,,,0.9491643643858847,0.9600473965497335,0.9798795199362373,0.8855626429155802,0.8520281262994407,0.7207283836958096,0.7766788977116319,0.7365092739478039,0.7794359650680077,0.8305205008998783,0.3716483634953759,0.49348714583603054,0.6150569841759144,0.7404110214294022,0.47709625254538307,0.4728546552804727,0.5745916542688129,0.6976019638369303,,281479105,EDUC
148203,,,,,,,,,,,,,,,,,,,0.9802214835024105,0.9864824465595976,0.9769681880534012,0.977955132168763,163086101,CHEF
100513,,,,,,,,,,,,,,,,,,,,,,,384701108,GRM
67605,,,,0.8136628653740603,0.8582922793421176,0.8719547242557877,0.9074039927990057,0.9238770492722305,0.950585941842542,0.9535997405196472,0.9187225228278519,0.9499213111840513,0.9647886743837149,0.9756797224708214,0.961745432661749,0.9696704870558049,0.9698480437618955,0.9669875083851182,0.946250250492677,0.8633488809571652,0.7486006651987742,0.7719788679040397,946760105,WSTG
134009,,,,,,,,,,,,,,,,0.9356416648530024,0.9432962108026688,0.9550952227426691,0.962782811768974,0.9756466165030308,0.9765069803297898,0.9806913017339015,40416E103,HCI
343,,,,,,,,,,,,0.5592694742328439,0.49149220178559994,0.6244866225814113,0.622463535604078,0.7261314248876538,0.7108263081108568,0.7574465783945294,,,,,011612702,ALAN
145582,,,,,,,,,,,,,,,,,,0.9688596237628329,0.9744173491585688,0.9769338539351669,0.9723485114991555,0.9356453332551038,695127100,PCRX
108775,,,,,,,,,,,,0.9692862579768746,0.9681991525968809,,,,,,,,,,62985Q101,NLC
34450,,,,,,,,,,,,,,,,,,,,,0.764208547845798,,245496104,TACO
31233,,,,,,,,,,,,,,,,,,,,,0.9498908887869476,0.9652923895084966,164651101,CHMI
46030,,,,,0.8214357222783594,0.8672073512593903,0.855678325194875,0.8747488356573608,0.9128818758203003,0.9304983230374703,0.9512195572568951,0.9707132646178455,0.9811965140097474,0.9581433797785935,0.9571239478075553,0.9605911352758538,0.9429329161282487,0.9562880954517675,0.9103456665874379,,,,918194101,WOOF
69878,,,,,,,,0.6121350336881725,0.7046705573592785,0.7563324559654455,0.8224370519205344,0.8454310143790892,,,,,,,,,,,987413101,UBET
64984,,,,,,,,,,,,,,,,,,,,,,,54738L109,LOVE
43693,,,,,,,,,,,,,,,,,,,,0.6472720120185013,0.7437120989369108,,90238J103,TYME
17514,,,,,,0.5680778219555737,0.673633428943844,0.544940104642689,0.6970874552937907,,,0.7404597550853049,,,,,,,,,,,902633304,UCIA
19908,,,,,,,,,,,,,,,0.5474781659118046,0.6941197292741419,0.8454404500342001,0.7927922422047475,0.8358008034343026,0.8768506025757269,0.49715588774962666,,111294104,BRST
146767,,,,,,,,,,,,,,,,,,0.9818713758165464,0.9851739739165065,0.979694047797467,0.9116879178814428,,58503F106,MCC
61964,,,,,,,,,,,,,,,,,,,,,,,131004202,CLNW
32189,,,0.9019782061728844,0.9284532096183498,0.9427659577624443,0.9559893232534614,0.9710397194390883,0.879563746933227,0.9181189107501513,0.9405625131001104,0.9226515542367055,0.9460972382737001,0.9322646496743132,0.9354079014377099,0.9410554145735812,0.9419472833334211,0.9521728553788229,0.952841390512703,0.9591145834503646,0.9604326560053892,0.9529841241238071,,353525108,FRAF
30718,,,,,,,,,,,,,,,,,,,,,0.9330260793514874,,42237K300,HTBX
104936,,,,0.8143701630296226,0.822504854255001,0.6941984025826797,0.7364935171272076,,,,0.24203882925880826,0.40975783438880037,0.5730364582617027,0.18888977225387948,0.34452850370410526,0.6637989254257679,0.6637989254257679,,,,0.5366158677568469,,744392101,PCMC
113927,,,,,,,,,,,,,0.9731832627744567,0.9723410023730974,0.9721230010609698,0.969303331600709,0.9681061353222965,0.9692800771078278,0.9804889727248269,0.9773459125905601,0.9775630427273218,0.9729243628981923,904311107,UAA
148275,,,,,,,,,,,,,,,,0.8151088649454297,0.8222868702762053,0.7873564197014533,0.8345772341065942,0.8634690388036554,0.8606913341197956,0.9023331281087605,15117F500,CLRB
63682,,,,,,,,,,,,,,,,,,,,,,,039587100,FUV
57417,,,,0.7984139681423535,0.8247815273406426,0.8571802302151804,0.8888081519422176,0.8652827232110157,0.8417532942702461,0.8035987932716984,0.823560996457205,0.8671899032170461,0.9089674895952997,0.9197514771971862,0.9174417022946899,0.9107076902034091,0.9272601005070065,0.9357506652117431,0.9521383140300144,,,,954235107,WMAR
131129,,,,,,,,,,,,,,,,,,,,,,,864596101,SFSF
24018,,,,,,,,,,,,,,,,,,,,0.9823450646426799,0.9855107057546993,0.9761909856335343,98138H101,WDAY
84918,,,,,,0.9024913945722508,0.9193094677734145,0.8890110081558908,0.9207403293697267,0.9421922411571488,0.9289702357628787,0.9552301617286295,0.9468077854033256,0.9580004511944716,0.9573572075874865,,,,,,,,804137107,SHS
66901,,,,,,,,,,,,,,,,,,,,,,,83192H106,SDC
133930,,,,,,,,,,,,,,,,,,,,,,,81169Q109,SDC
36902,,,,,,,,,,,,,,,,,,,,,,0.9273211636225771,55378G102,MTBC
48742,,,,,,,,,,,,,,,,,,,,,,,12634H200,PMTS
98793,,,,,,,,,,,,,,,,0.9159384860497699,0.9529503071484937,0.9678642524911509,0.9580256179634826,0.9738563820593095,0.9793631841570143,,168913200,CREG
39456,,,,,,,,,,,,,,,,,,,,,,,86777J108,SBCP
39968,,,,,,,,,,,,,,,,,,,,,,,92847N103,VTAE
10916,,0.8968452321794331,0.8735170466745039,0.8895062235508272,0.8980790983878318,0.9065146106764048,0.9086712187342965,0.8863777590640847,0.8714914382311211,0.8805947959603551,0.8778188147248944,0.896230211643325,0.9329273081103878,0.9339566146139848,0.9385508211292439,0.9407042482823702,0.942087407694515,0.7863191666316839,0.8985450406225006,0.9050171229297641,0.8970510315667426,0.8984525954021596,651229106,NWL
44420,,,,,,,,,,,,,,,,,,,,,,,829204304,SMTK
30740,,,,,,,,,,0.6676443279653616,0.7712852750421617,0.833042780444867,0.8807434197604993,,,,,,,,,,202736104,CWBS
21708,,,,,,,,,,,,,,,,,,,,,,0.9542872622469065,36866T103,GPRO
38227,,,,,,,,,,,,,,,,,,,,,,0.9542872622469065,38268T103,GPRO
40566,,,,,,,,,,,,,,,,0.8712516967252458,0.9045377250498612,0.9071166718876199,,,,,39571U605,GERS
33601,,,,,,,,,,,,,,,,,,,0.5748046234335551,0.6988033928920248,0.8251735741742928,,87407Q207,TKAT
31097,,,,0.9769515321450859,0.9749793397137525,0.9715228633403499,0.9824124702886884,0.9865560374139021,0.9859286776375973,0.9882585307009519,0.9853330260974698,0.9905256545054699,0.9891138998534952,0.9876968368278914,,,,,,,,,33848W106,DFP
58272,,,,,,,,,,,,,,,,,,,,,,,87970T208,WRLS
63351,,,,,,,,,,,,,,,,,,,,,,,70957E105,WRLS
59483,,,,,,0.9463530383511569,0.960703122234498,0.9636042867060979,0.9146570132420198,,,,,,,,,,,,,,606850105,MITY
124132,,,,,,,,,,,,,,,,0.9493463277544528,0.9608751594434242,0.9760408415278599,0.9879049620788922,0.8733622951316418,0.6683151414572199,,758338107,REED
28775,,0.6703498718440953,0.7540438582102841,0.8791869467903369,0.19191319549986222,0.2764994752284072,0.44402008378192004,0.3334132260308004,0.46912351476229197,0.6004617156240821,0.7096272916944898,0.8101504500510431,0.9283291303984781,0.9440496960929619,0.9459912118468431,0.969726523084445,0.9778742034957402,0.9855345721924248,0.9795291351747452,0.9813144574852842,0.9854524470465261,0.9810407123501177,000868109,ACNB
44963,,,0.9341885635409145,0.8842569308900359,0.8308852516539738,0.861726791767118,0.8853450184295909,0.91436064958508,0.9292983791876506,0.9413951216706771,0.9471478023867232,0.9299620066979593,0.9435685012769129,0.9286769728140744,0.9406477486482097,0.9452000983614921,0.9518242838122533,0.9331870733101514,0.9392598187297567,0.8939895960390969,0.9033302295823024,,405024100,HAE
15333,0.7951811166255025,0.8020254647714445,0.5369552425867692,,0.6081844414724433,0.6889331091226628,0.777640133235302,0.8192082721933609,0.8793696877411851,0.9381978838384153,0.9472900770158725,0.9615052330530315,0.9652656822361818,0.9680780925507042,0.9219678016359799,0.9317561964764082,0.9378827571220556,0.9500671149290753,0.9598537713289241,0.9025006912243715,0.8710139913387401,0.9039816009783955,896522109,TRN
96642,,,,,,,,,,,,,,,,,,,,,,,55970P203,MDOR
25309,,,,,,,,,,,,,,,,,,,,,,,87160C106,SYNX
31357,,,,,,,,,,,,,,,,,,,,0.9222922665027233,0.9406123094640337,,87876P201,TGEN
62352,,,,,,,,,,,,,,,,,,,,,,,189763105,CODX
34131,,,,,,,,,,,,,,,,,,,,,0.9776492074894174,0.9762379678201917,10482B101,BHR
18730,,,,,,,,,,,,,,,,,,,,,0.9776492074894174,0.9762379678201917,09238D205,BHR
108870,,,,,,,,,,,,0.9023258242908122,0.9223143919535725,0.9556632152180322,0.9612024452104327,0.9536656786254097,0.9592576161441508,0.975047762077962,0.9915498744322561,0.9919595127214025,0.9874379380446525,0.9755718335862212,517834107,LVS
84657,,,,,,0.9015813223360893,0.9170084816323115,0.9090004667297171,0.9413432757427854,0.9503416483370695,0.8751527528318002,0.8860104340761611,0.90490295716391,0.9225058089973459,0.9241121343481875,0.9497883158074683,0.959033906165387,0.953195270585271,0.9516906280634455,0.9614387818935242,,,517942108,LHO
68000,,,,,,0.9452579382916758,0.9631224240602639,0.9163244859267033,0.940314287844871,0.944666366793626,0.8863107285161096,0.874737786916717,0.8884289023527578,0.9178418078173163,,,,,,,,,314645102,FETM
128084,,,,,,,,,,,,,,,,,,,,,,,052660107,AUTH
46807,,,,,,,,,,,,,,,0.9544341176150409,0.9635478472613194,0.9692246259833015,0.37574720482512414,0.49780562151057567,0.6273323273995166,0.7566095520575881,,740294301,PEYE
